,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
0,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,22,Мужской,0.0,1.0,Без изменений,,Без изменений,3.5,0.54,22.9,48.9,0.26,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,OK
1,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,42,Мужской,1.0,1.0,Без изменений,,Без изменений,5.0,0.57,25.6,34.7,0.08,170.2,63.0,0.0,0.0,0.0,0.0,32.8,0,1,мало,молодой возраст,56,not OK
2,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,27,Мужской,0.0,1.0,Без изменений,,Без изменений,5.0,0.54,24.0,34.8,0.21,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,not OK
3,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,32,Мужской,-1.0,1.0,Теплее,,Меньше,3.5,0.57,24.7,42.2,0.1,170.2,63.0,1.0,1.0,0.0,0.0,32.8,0,1,мало,молодой возраст,56,OK
4,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,43,Мужской,0.0,1.0,Без изменений,,Без изменений,5.0,0.57,25.5,34.7,0.15,170.2,63.0,1.0,1.0,0.0,0.0,32.8,0,1,мало,молодой возраст,56,not OK
5,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,32,Мужской,-1.0,1.0,Без изменений,,Меньше,4.5,0.57,24.6,38.4,0.14,170.2,63.0,0.0,0.0,0.0,0.0,32.8,0,1,мало,молодой возраст,56,not OK
6,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,26,Мужской,0.5,0.0,Холоднее,,Больше,2.7,0.57,26.4,31.7,0.13,170.2,63.0,0.0,0.0,0.0,0.0,32.8,1,1,мало,молодой возраст,56,not OK
7,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,31,Мужской,0.0,1.0,Без изменений,,Без изменений,5.0,0.67,24.0,35.3,0.11,170.2,63.0,1.0,1.0,0.0,0.0,29.4,0,1,мало,молодой возраст,56,not OK
8,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,38,Мужской,0.0,1.0,Холоднее,,Больше,4.0,0.61,24.1,43.6,0.21,170.2,63.0,1.0,1.0,0.0,0.0,31.7,0,1,мало,молодой возраст,56,OK
9,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,42,Мужской,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,24.4,43.5,0.14,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,OK
10,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,34,Мужской,-2.0,0.0,Теплее,,Меньше,2.0,0.79,23.8,43.8,0.32,170.2,63.0,1.0,1.0,0.0,0.0,32.8,1,1,мало,молодой возраст,56,OK
